# Reference      Predicted      Error          
-0.00082        0.00869         0.00952        
0.00082         -0.00869        0.00952        
0.00526         -0.02212        0.02739        
-0.00526        0.02213         0.02740        
0.00526         -0.02213        0.02739        
-0.00526        0.02212         0.02739        
0.00526         -0.02212        0.02739        
-0.00526        0.02213         0.02740        
-0.00526        0.02212         0.02739        
0.00526         -0.02213        0.02739        
-0.00210        0.00776         0.00986        
0.00210         -0.00776        0.00986        
-0.00210        0.00776         0.00986        
0.00210         -0.00776        0.00986        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00341         0.00423         0.00082        
-0.00341        -0.00423        0.00082        
0.00341         0.00423         0.00082        
-0.00341        -0.00423        0.00082        
-0.00734        -0.02307        0.01573        
0.00734         0.02307         0.01573        
-0.00734        -0.02307        0.01573        
0.00734         0.02307         0.01573        
-0.00734        -0.02307        0.01573        
0.00734         0.02307         0.01573        
0.00734         0.02307         0.01573        
-0.00734        -0.02307        0.01573        
-0.00070        0.00256         0.00327        
0.00070         -0.00256        0.00327        
-0.00070        0.00257         0.00327        
0.00070         -0.00256        0.00326        
0.00000         -0.00001        0.00001        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00060         -0.01105        0.01165        
-0.00060        0.01105         0.01165        
0.00060         -0.01105        0.01165        
-0.00060        0.01105         0.01165        
0.00370         -0.00500        0.00871        
-0.00370        0.00500         0.00870        
0.00370         -0.00500        0.00871        
-0.00370        0.00501         0.00872        
0.00370         -0.00500        0.00871        
-0.00370        0.00500         0.00870        
-0.00370        0.00501         0.00872        
0.00370         -0.00500        0.00871        
-0.00049        0.00031         0.00080        
0.00049         -0.00031        0.00080        
-0.00049        0.00031         0.00080        
0.00049         -0.00032        0.00081        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00000        0.00000        
-0.00439        -0.02260        0.01820        
0.00439         0.02261         0.01821        
-0.00439        -0.02261        0.01821        
0.00439         0.02261         0.01821        
-0.00016        -0.00305        0.00289        
0.00016         0.00305         0.00289        
-0.00016        -0.00304        0.00288        
0.00016         0.00305         0.00289        
-0.00016        -0.00306        0.00290        
0.00016         0.00305         0.00289        
0.00016         0.00305         0.00289        
-0.00016        -0.00304        0.00288        
0.00618         0.00384         0.00234        
-0.00618        -0.00384        0.00233        
0.00618         0.00384         0.00233        
-0.00618        -0.00384        0.00233        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00000        0.00000        
-0.00872        -0.02136        0.01264        
0.00872         0.02136         0.01264        
-0.00872        -0.02136        0.01264        
0.00872         0.02136         0.01264        
-0.00688        -0.00305        0.00383        
0.00688         0.00305         0.00383        
-0.00688        -0.00304        0.00384        
0.00688         0.00305         0.00383        
-0.00688        -0.00305        0.00383        
0.00688         0.00305         0.00383        
0.00688         0.00305         0.00383        
-0.00688        -0.00304        0.00384        
-0.00131        0.00571         0.00702        
0.00131         -0.00571        0.00702        
-0.00131        0.00571         0.00702        
0.00131         -0.00571        0.00702        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
-0.00301        -0.01829        0.01528        
0.00301         0.01829         0.01528        
-0.00301        -0.01829        0.01528        
0.00301         0.01829         0.01528        
-0.00936        -0.00036        0.00900        
0.00936         0.00036         0.00899        
-0.00936        -0.00036        0.00899        
0.00936         0.00036         0.00900        
-0.00936        -0.00036        0.00900        
0.00936         0.00036         0.00899        
0.00936         0.00036         0.00900        
-0.00936        -0.00036        0.00900        
-0.00882        0.00962         0.01845        
0.00882         -0.00963        0.01845        
-0.00882        0.00963         0.01845        
0.00882         -0.00963        0.01845        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00236         -0.01248        0.01484        
-0.00236        0.01248         0.01484        
0.00236         -0.01248        0.01484        
-0.00236        0.01248         0.01485        
-0.00488        0.00460         0.00948        
0.00488         -0.00460        0.00948        
-0.00488        0.00460         0.00948        
0.00488         -0.00461        0.00948        
-0.00488        0.00460         0.00948        
0.00488         -0.00460        0.00948        
0.00488         -0.00460        0.00948        
-0.00488        0.00460         0.00948        
0.00926         0.00388         0.00537        
-0.00926        -0.00389        0.00536        
0.00926         0.00389         0.00536        
-0.00926        -0.00390        0.00536        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00682         -0.00111        0.00794        
-0.00682        0.00111         0.00793        
0.00682         -0.00111        0.00793        
-0.00682        0.00112         0.00794        
0.00499         -0.00475        0.00974        
-0.00499        0.00477         0.00975        
0.00499         -0.00475        0.00974        
-0.00499        0.00476         0.00975        
0.00499         -0.00475        0.00974        
-0.00499        0.00476         0.00975        
-0.00499        0.00476         0.00975        
0.00499         -0.00475        0.00974        
0.00428         0.00495         0.00067        
-0.00428        -0.00494        0.00066        
0.00428         0.00495         0.00067        
-0.00428        -0.00494        0.00066        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.00146        -0.00481        0.00335        
0.00146         0.00481         0.00335        
-0.00146        -0.00482        0.00336        
0.00146         0.00481         0.00336        
-0.00592        -0.00641        0.00049        
0.00592         0.00641         0.00049        
-0.00592        -0.00642        0.00049        
0.00592         0.00642         0.00049        
-0.00592        -0.00641        0.00049        
0.00592         0.00641         0.00049        
0.00592         0.00642         0.00049        
-0.00592        -0.00642        0.00049        
0.00155         0.00790         0.00636        
-0.00155        -0.00790        0.00635        
0.00155         0.00790         0.00636        
-0.00155        -0.00790        0.00635        
0.00000         0.00001         0.00001        
0.00000         0.00001         0.00001        
0.00000         0.00001         0.00001        
0.00000         0.00001         0.00001        
0.00281         -0.00175        0.00456        
-0.00281        0.00175         0.00456        
0.00281         -0.00175        0.00456        
-0.00281        0.00175         0.00456        
0.00596         -0.01059        0.01655        
-0.00596        0.01058         0.01654        
0.00596         -0.01059        0.01655        
-0.00596        0.01058         0.01654        
0.00596         -0.01059        0.01655        
-0.00596        0.01058         0.01654        
-0.00596        0.01058         0.01654        
0.00596         -0.01059        0.01655        
0.00072         0.01236         0.01164        
-0.00072        -0.01235        0.01163        
0.00072         0.01236         0.01164        
-0.00072        -0.01236        0.01164        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00155         -0.00036        0.00191        
-0.00155        0.00036         0.00191        
0.00155         -0.00037        0.00192        
-0.00155        0.00036         0.00191        
0.00380         -0.01583        0.01963        
-0.00380        0.01584         0.01964        
0.00380         -0.01584        0.01964        
-0.00380        0.01583         0.01963        
0.00380         -0.01583        0.01963        
-0.00380        0.01584         0.01964        
-0.00380        0.01583         0.01963        
0.00380         -0.01584        0.01964        
0.00151         0.01139         0.00989        
-0.00151        -0.01139        0.00988        
0.00151         0.01139         0.00988        
-0.00151        -0.01139        0.00989        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00001        0.00001        
-0.00000        -0.00001        0.00001        
-0.00000        -0.00000        0.00000        
0.00087         -0.00098        0.00185        
-0.00087        0.00098         0.00185        
0.00087         -0.00098        0.00185        
-0.00087        0.00098         0.00185        
-0.00491        -0.01889        0.01398        
0.00491         0.01889         0.01398        
-0.00491        -0.01888        0.01397        
0.00491         0.01889         0.01398        
-0.00491        -0.01889        0.01398        
0.00491         0.01889         0.01398        
0.00491         0.01889         0.01398        
-0.00491        -0.01888        0.01397        
-0.00619        0.00200         0.00819        
0.00619         -0.00200        0.00819        
-0.00619        0.00200         0.00819        
0.00619         -0.00200        0.00819        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00640         -0.01066        0.01706        
-0.00640        0.01066         0.01706        
0.00640         -0.01066        0.01706        
-0.00640        0.01066         0.01706        
0.00747         -0.00434        0.01180        
-0.00747        0.00433         0.01180        
0.00747         -0.00433        0.01180        
-0.00747        0.00434         0.01180        
0.00747         -0.00434        0.01180        
-0.00747        0.00433         0.01180        
-0.00747        0.00434         0.01180        
0.00747         -0.00433        0.01180        
-0.00027        0.00432         0.00459        
0.00027         -0.00431        0.00458        
-0.00027        0.00432         0.00459        
0.00027         -0.00431        0.00458        
-0.00000        0.00000         0.00000        
-0.00000        0.00001         0.00001        
-0.00000        0.00001         0.00001        
-0.00000        0.00000         0.00000        
0.01057         -0.01063        0.02119        
-0.01057        0.01063         0.02119        
0.01057         -0.01063        0.02119        
-0.01057        0.01063         0.02119        
-0.01034        0.00109         0.01143        
0.01034         -0.00110        0.01144        
-0.01034        0.00109         0.01143        
0.01034         -0.00109        0.01143        
-0.01034        0.00109         0.01143        
0.01034         -0.00110        0.01144        
0.01034         -0.00109        0.01143        
-0.01034        0.00109         0.01143        
0.00374         0.00634         0.00260        
-0.00374        -0.00633        0.00259        
0.00374         0.00634         0.00260        
-0.00374        -0.00633        0.00259        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00000        0.00000        
0.01078         -0.00929        0.02007        
-0.01078        0.00928         0.02006        
0.01078         -0.00929        0.02007        
-0.01078        0.00928         0.02006        
-0.00499        0.00167         0.00667        
0.00499         -0.00168        0.00667        
-0.00499        0.00169         0.00668        
0.00499         -0.00168        0.00667        
-0.00499        0.00167         0.00667        
0.00499         -0.00168        0.00667        
0.00499         -0.00168        0.00667        
-0.00499        0.00169         0.00668        
-0.00223        0.00518         0.00741        
0.00223         -0.00518        0.00740        
-0.00223        0.00518         0.00741        
0.00223         -0.00518        0.00741        
0.00000         -0.00000        0.00000        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.01153         -0.00831        0.01984        
-0.01153        0.00831         0.01984        
0.01153         -0.00832        0.01985        
-0.01153        0.00831         0.01984        
0.00198         0.00222         0.00025        
-0.00198        -0.00221        0.00024        
0.00198         0.00222         0.00024        
-0.00198        -0.00222        0.00024        
0.00198         0.00222         0.00025        
-0.00198        -0.00221        0.00024        
-0.00198        -0.00222        0.00024        
0.00198         0.00222         0.00024        
-0.00112        0.00439         0.00550        
0.00112         -0.00439        0.00551        
-0.00112        0.00438         0.00550        
0.00112         -0.00438        0.00550        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00552         -0.00666        0.01218        
-0.00552        0.00666         0.01218        
0.00552         -0.00666        0.01218        
-0.00552        0.00666         0.01218        
-0.00300        0.00252         0.00552        
0.00300         -0.00252        0.00552        
-0.00300        0.00251         0.00551        
0.00300         -0.00251        0.00551        
-0.00300        0.00252         0.00552        
0.00300         -0.00252        0.00552        
0.00300         -0.00251        0.00551        
-0.00300        0.00251         0.00551        
0.00000         0.00003         0.00003        
-0.00000        0.00002         0.00002        
0.00282         -0.02362        0.02644        
-0.00141        0.01181         0.01322        
-0.00141        0.01181         0.01322        
-0.00282        0.02362         0.02643        
0.00141         -0.01183        0.01324        
0.00141         -0.01181        0.01322        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00282         -0.02363        0.02644        
-0.00141        0.01180         0.01321        
-0.00141        0.01180         0.01321        
-0.00282        0.02363         0.02644        
0.00141         -0.01180        0.01320        
0.00141         -0.01181        0.01322        
-0.00000        -0.00002        0.00002        
-0.00000        -0.00001        0.00001        
0.00282         -0.02362        0.02643        
-0.00141        0.01182         0.01322        
-0.00141        0.01182         0.01323        
-0.00282        0.02362         0.02644        
0.00141         -0.01182        0.01323        
0.00141         -0.01181        0.01322        
-0.00000        0.00000         0.00000        
0.00000         0.00003         0.00003        
-0.00000        -0.00002        0.00002        
0.00000         0.00000         0.00000        
0.00000         0.00004         0.00004        
0.00000         -0.00003        0.00003        
0.00129         -0.01291        0.01420        
0.00096         0.00993         0.00897        
-0.00225        0.00295         0.00520        
0.00129         -0.01292        0.01421        
-0.00225        0.00295         0.00520        
0.00096         0.00994         0.00898        
-0.00129        0.01291         0.01420        
-0.00096        -0.00997        0.00900        
0.00225         -0.00296        0.00521        
-0.00129        0.01291         0.01420        
-0.00096        -0.00996        0.00900        
0.00225         -0.00295        0.00521        
0.00129         -0.01290        0.01419        
