# Reference      Predicted      Error          
-0.22642        -0.21746        0.00896        
-0.22642        -0.21746        0.00897        
0.22644         0.21747         0.00897        
-0.07031        -0.09965        0.02934        
0.07031         0.09965         0.02933        
-0.07031        -0.09965        0.02934        
0.07031         0.09965         0.02934        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.11721        -0.16140        0.04418        
0.11721         0.16140         0.04418        
-0.11721        -0.16139        0.04418        
0.11721         0.16139         0.04418        
0.22884         0.21859         0.01025        
-0.22885        -0.21859        0.01026        
0.22885         0.21859         0.01026        
-0.22885        -0.21860        0.01025        
0.22884         0.21859         0.01025        
-0.22885        -0.21859        0.01026        
-0.22885        -0.21860        0.01025        
0.22885         0.21859         0.01026        
-0.08569        -0.11436        0.02867        
0.08569         0.11435         0.02867        
-0.08569        -0.11435        0.02867        
0.08569         0.11435         0.02866        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.08924        -0.13126        0.04202        
0.08924         0.13126         0.04202        
-0.08924        -0.13127        0.04203        
0.08924         0.13127         0.04203        
0.23563         0.21987         0.01577        
-0.23564        -0.21986        0.01577        
0.23564         0.21987         0.01577        
-0.23564        -0.21987        0.01577        
0.23563         0.21987         0.01577        
-0.23564        -0.21987        0.01577        
-0.23564        -0.21987        0.01577        
0.23564         0.21987         0.01577        
-0.03543        -0.05273        0.01730        
0.03542         0.05272         0.01729        
-0.03542        -0.05271        0.01730        
0.03542         0.05271         0.01729        
-0.00005        -0.00002        0.00003        
-0.00004        -0.00002        0.00002        
-0.00004        -0.00002        0.00002        
-0.00005        -0.00002        0.00003        
-0.20518        -0.26378        0.05860        
0.20518         0.26377         0.05859        
-0.20518        -0.26378        0.05860        
0.20518         0.26378         0.05860        
0.22861         0.22450         0.00411        
-0.22857        -0.22447        0.00410        
0.22862         0.22450         0.00411        
-0.22856        -0.22448        0.00408        
0.22861         0.22450         0.00411        
-0.22857        -0.22448        0.00409        
-0.22856        -0.22448        0.00408        
0.22862         0.22450         0.00411        
-0.04324        -0.05415        0.01091        
0.04325         0.05417         0.01092        
-0.04324        -0.05415        0.01092        
0.04324         0.05416         0.01092        
-0.00002        -0.00001        0.00001        
0.00001         0.00000         0.00001        
0.00001         0.00000         0.00001        
-0.00002        -0.00001        0.00001        
-0.21832        -0.27106        0.05274        
0.21831         0.27105         0.05274        
-0.21831        -0.27106        0.05275        
0.21830         0.27105         0.05275        
0.22757         0.23359         0.00602        
-0.22756        -0.23359        0.00604        
0.22755         0.23359         0.00603        
-0.22755        -0.23358        0.00603        
0.22757         0.23359         0.00602        
-0.22756        -0.23359        0.00603        
-0.22755        -0.23358        0.00603        
0.22755         0.23359         0.00603        
-0.04335        -0.04230        0.00105        
0.04335         0.04230         0.00105        
-0.04335        -0.04229        0.00105        
0.04335         0.04230         0.00105        
0.00003         0.00001         0.00002        
0.00003         0.00002         0.00001        
0.00003         0.00002         0.00001        
0.00003         0.00001         0.00002        
-0.23024        -0.28344        0.05320        
0.23024         0.28344         0.05321        
-0.23024        -0.28344        0.05320        
0.23024         0.28344         0.05320        
0.26096         0.25636         0.00459        
-0.26099        -0.25638        0.00460        
0.26095         0.25636         0.00459        
-0.26099        -0.25638        0.00461        
0.26096         0.25636         0.00459        
-0.26099        -0.25638        0.00460        
-0.26099        -0.25638        0.00461        
0.26095         0.25636         0.00459        
-0.04413        -0.02264        0.02148        
0.04414         0.02267         0.02147        
-0.04413        -0.02264        0.02149        
0.04413         0.02264         0.02149        
0.00001         -0.00001        0.00002        
-0.00001        0.00000         0.00001        
-0.00001        0.00000         0.00001        
0.00001         -0.00001        0.00002        
-0.22991        -0.27224        0.04233        
0.22991         0.27224         0.04233        
-0.22992        -0.27225        0.04233        
0.22992         0.27225         0.04232        
0.27854         0.27194         0.00660        
-0.27857        -0.27193        0.00663        
0.27856         0.27193         0.00663        
-0.27855        -0.27195        0.00660        
0.27854         0.27194         0.00660        
-0.27857        -0.27193        0.00663        
-0.27855        -0.27195        0.00660        
0.27856         0.27193         0.00663        
-0.04328        -0.01779        0.02549        
0.04329         0.01780         0.02549        
-0.04329        -0.01780        0.02548        
0.04328         0.01779         0.02549        
-0.00001        -0.00000        0.00001        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00001        -0.00000        0.00001        
-0.22270        -0.25689        0.03419        
0.22270         0.25689         0.03420        
-0.22270        -0.25689        0.03420        
0.22269         0.25688         0.03419        
0.28826         0.29418         0.00592        
-0.28823        -0.29418        0.00596        
0.28829         0.29422         0.00593        
-0.28829        -0.29420        0.00591        
0.28826         0.29418         0.00592        
-0.28823        -0.29418        0.00596        
-0.28829        -0.29420        0.00591        
0.28829         0.29422         0.00593        
-0.05273        -0.05560        0.00287        
0.05273         0.05560         0.00286        
-0.05273        -0.05560        0.00286        
0.05273         0.05560         0.00286        
-0.00000        -0.00000        0.00000        
-0.00000        0.00000         0.00000        
-0.00000        -0.00000        0.00000        
-0.00000        -0.00000        0.00000        
-0.17369        -0.23339        0.05970        
0.17369         0.23338         0.05970        
-0.17369        -0.23338        0.05970        
0.17369         0.23338         0.05970        
0.20862         0.19368         0.01494        
-0.20861        -0.19368        0.01493        
0.20861         0.19368         0.01494        
-0.20861        -0.19367        0.01494        
0.20862         0.19368         0.01494        
-0.20861        -0.19368        0.01493        
-0.20861        -0.19367        0.01494        
0.20861         0.19368         0.01493        
-0.04795        -0.05351        0.00555        
0.04796         0.05353         0.00556        
-0.04795        -0.05350        0.00555        
0.04797         0.05353         0.00556        
0.00002         0.00001         0.00002        
0.00002         0.00001         0.00001        
0.00002         0.00001         0.00001        
0.00002         0.00001         0.00002        
-0.15094        -0.21024        0.05930        
0.15094         0.21023         0.05929        
-0.15094        -0.21024        0.05930        
0.15095         0.21024         0.05929        
0.17386         0.18290         0.00904        
-0.17389        -0.18292        0.00904        
0.17385         0.18290         0.00905        
-0.17389        -0.18292        0.00903        
0.17386         0.18290         0.00904        
-0.17388        -0.18292        0.00904        
-0.17389        -0.18292        0.00903        
0.17385         0.18290         0.00905        
-0.03850        -0.04350        0.00500        
0.03851         0.04352         0.00501        
-0.03850        -0.04350        0.00500        
0.03851         0.04351         0.00501        
-0.00001        -0.00000        0.00001        
-0.00002        -0.00001        0.00000        
-0.00002        -0.00001        0.00000        
-0.00001        -0.00000        0.00001        
-0.14529        -0.19974        0.05445        
0.14529         0.19974         0.05445        
-0.14529        -0.19974        0.05445        
0.14529         0.19973         0.05445        
0.16882         0.17274         0.00393        
-0.16880        -0.17275        0.00395        
0.16882         0.17276         0.00394        
-0.16882        -0.17275        0.00393        
0.16882         0.17274         0.00393        
-0.16880        -0.17275        0.00395        
-0.16882        -0.17275        0.00393        
0.16882         0.17276         0.00394        
-0.04699        -0.04419        0.00280        
0.04699         0.04420         0.00279        
-0.04698        -0.04419        0.00279        
0.04698         0.04419         0.00279        
-0.00003        -0.00001        0.00002        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00003        -0.00001        0.00002        
-0.13769        -0.19049        0.05280        
0.13768         0.19049         0.05280        
-0.13768        -0.19049        0.05281        
0.13768         0.19048         0.05280        
0.16306         0.15832         0.00475        
-0.16304        -0.15830        0.00475        
0.16307         0.15831         0.00476        
-0.16304        -0.15831        0.00474        
0.16307         0.15832         0.00475        
-0.16305        -0.15830        0.00475        
-0.16304        -0.15830        0.00474        
0.16307         0.15831         0.00476        
-0.04018        -0.03868        0.00150        
0.04018         0.03868         0.00151        
-0.04019        -0.03870        0.00149        
0.04019         0.03870         0.00149        
-0.00001        0.00000         0.00001        
0.00000         -0.00000        0.00001        
0.00000         -0.00000        0.00001        
-0.00001        0.00000         0.00001        
-0.14486        -0.19101        0.04615        
0.14485         0.19101         0.04615        
-0.14485        -0.19100        0.04615        
0.14485         0.19100         0.04615        
0.15203         0.15388         0.00185        
-0.15202        -0.15388        0.00186        
0.15201         0.15388         0.00187        
-0.15201        -0.15387        0.00186        
0.15203         0.15388         0.00186        
-0.15202        -0.15388        0.00186        
-0.15201        -0.15387        0.00186        
0.15201         0.15387         0.00186        
-0.00000        0.00003         0.00003        
-0.00000        0.00002         0.00003        
-0.02799        -0.03012        0.00213        
0.01400         0.01507         0.00107        
0.01401         0.01508         0.00107        
0.02798         0.03011         0.00213        
-0.01402        -0.01510        0.00108        
-0.01398        -0.01504        0.00106        
0.00000         0.00000         0.00000        
-0.00000        0.00000         0.00000        
-0.02800        -0.03013        0.00212        
0.01400         0.01505         0.00105        
0.01400         0.01505         0.00105        
0.02800         0.03012         0.00212        
-0.01399        -0.01504        0.00104        
-0.01400        -0.01507        0.00107        
0.00001         -0.00002        0.00002        
0.00001         -0.00001        0.00002        
-0.02798        -0.03011        0.00213        
0.01400         0.01506         0.00106        
0.01400         0.01507         0.00108        
0.02799         0.03012         0.00213        
-0.01399        -0.01507        0.00108        
-0.01401        -0.01507        0.00106        
0.00000         0.00001         0.00000        
-0.00002        0.00003         0.00005        
0.00004         -0.00001        0.00005        
-0.00000        0.00000         0.00001        
0.00000         0.00006         0.00005        
0.00001         -0.00004        0.00005        
-0.71916        -0.68855        0.03061        
1.23529         1.17539         0.05991        
-0.51611        -0.48688        0.02923        
-0.71918        -0.68857        0.03061        
-0.51612        -0.48689        0.02923        
1.23529         1.17542         0.05987        
0.71922         0.68857         0.03064        
-1.23534        -1.17548        0.05987        
0.51614         0.48688         0.02926        
0.71919         0.68857         0.03062        
-1.23532        -1.17546        0.05987        
0.51611         0.48688         0.02922        
-0.71919        -0.68856        0.03063        
1.23530         1.17546         0.05984        
-0.51612        -0.48689        0.02923        
-0.71920        -0.68855        0.03065        
-0.51613        -0.48689        0.02924        
1.23530         1.17546         0.05983        
0.71920         0.68857         0.03063        
-1.23530        -1.17547        0.05983        
0.51611         0.48688         0.02924        
0.71919         0.68854         0.03065        
-1.23531        -1.17548        0.05983        
0.51613         0.48690         0.02923        
-0.71919        -0.68856        0.03063        
1.23531         1.17547         0.05984        
-0.51613        -0.48688        0.02925        
-0.71920        -0.68858        0.03062        
-0.51611        -0.48688        0.02923        
1.23531         1.17544         0.05987        
0.71917         0.68856         0.03061        
-1.23529        -1.17542        0.05988        
0.51611         0.48690         0.02921        
0.71917         0.68857         0.03060        
-1.23529        -1.17543        0.05986        
0.51612         0.48688         0.02924        
0.00000         0.00001         0.00000        
-0.00000        -0.00001        0.00000        
-0.00001        -0.00001        0.00001        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
-0.00001        -0.00001        0.00001        
1.65498         1.61613         0.03885        
-1.65494        -1.61604        0.03890        
1.65497         1.61606         0.03892        
-1.65498        -1.61608        0.03890        
1.65503         1.61605         0.03898        
-1.65498        -1.61608        0.03890        
1.65501         1.61617         0.03884        
-1.65496        -1.61600        0.03897        
-0.00001        -0.00001        0.00000        
-0.00002        -0.00001        0.00001        
-0.74642        -0.73953        0.00689        
0.74640         0.73962         0.00679        
0.74641         0.73957         0.00684        
-0.74641        -0.73966        0.00675        
-0.74642        -0.73958        0.00684        
0.74639         0.73961         0.00679        
0.74642         0.73954         0.00688        
-0.74641        -0.73964        0.00677        
-0.00004        -0.00001        0.00002        
-0.00002        -0.00002        0.00000        
-0.74641        -0.73964        0.00677        
0.74639         0.73964         0.00675        
0.74641         0.73960         0.00681        
-0.74640        -0.73960        0.00680        
-0.74641        -0.73962        0.00679        
0.74640         0.73961         0.00679        
